Date, Open, High, Low, Close
03/06/25, 42848.49, 42970.49, 42381.56, 42579.08
03/05/25, 42518.37, 43135.92, 42418.73, 43006.59
03/04/25, 43040.30, 43084.00, 42347.75, 42520.99
03/03/25, 43900.49, 44033.78, 42919.31, 43191.24
02/28/25, 43259.84, 43873.55, 43100.87, 43840.91
02/27/25, 43516.44, 43884.19, 43224.53, 43239.50
02/26/25, 43635.42, 43866.50, 43318.93, 43433.12
02/25/25, 43509.74, 43767.74, 43282.98, 43621.16
02/24/25, 43493.12, 43699.15, 43343.67, 43461.21
02/21/25, 43820.13, 43959.73, 43349.33, 43428.02
02/20/25, 44561.11, 44561.11, 43950.16, 44176.65
02/19/25, 44478.12, 44636.19, 44312.65, 44627.59
02/18/25, 44583.91, 44602.02, 44319.32, 44556.34
02/14/25, 44720.99, 44769.05, 44498.96, 44546.08
02/13/25, 44425.94, 44768.26, 44366.62, 44711.43
02/12/25, 44357.70, 44467.21, 44104.48, 44368.56
02/11/25, 44401.38, 44640.60, 44319.51, 44593.65
02/10/25, 44396.92, 44622.19, 44301.42, 44470.41
02/07/25, 44762.57, 44857.11, 44279.78, 44303.40
02/06/25, 44949.19, 44966.63, 44545.27, 44747.63
02/05/25, 44563.63, 44886.88, 44352.99, 44873.28
02/04/25, 44469.46, 44597.71, 44328.52, 44556.04
02/03/25, 44268.15, 44594.54, 43879.06, 44421.91
01/31/25, 45054.36, 45054.36, 44507.22, 44544.66
01/30/25, 44548.69, 45008.75, 44548.69, 44882.13
01/29/25, 44819.55, 44962.58, 44579.10, 44713.52
01/28/25, 44756.36, 44976.35, 44621.96, 44850.35
01/27/25, 44148.84, 44727.85, 44026.27, 44713.58
01/24/25, 44533.75, 44545.52, 44332.22, 44424.25
01/23/25, 44113.55, 44565.26, 44113.55, 44565.07
01/22/25, 44178.06, 44208.34, 44042.11, 44156.73
01/21/25, 43528.65, 44050.13, 43528.65, 44025.81
01/17/25, 43312.55, 43653.25, 43312.55, 43487.83
01/16/25, 43290.25, 43294.81, 43081.75, 43153.13
01/15/25, 42927.76, 43323.49, 42927.76, 43221.55
01/14/25, 42366.42, 42544.57, 42157.03, 42518.28
01/13/25, 41924.68, 42319.60, 41844.89, 42297.12
01/10/25, 42540.29, 42540.29, 41877.30, 41938.45
01/08/25, 42542.10, 42656.22, 42327.79, 42635.20
01/07/25, 42809.71, 42931.54, 42380.75, 42528.36
01/06/25, 42835.52, 43115.31, 42611.16, 42706.56
01/03/25, 42495.76, 42782.76, 42436.92, 42732.13
01/02/25, 42660.09, 42905.09, 42174.80, 42392.27
12/31/24, 42636.70, 42779.69, 42421.29, 42544.22
12/30/24, 42863.86, 42863.86, 42263.51, 42573.73
12/27/24, 43142.37, 43238.85, 42761.56, 42992.21
12/26/24, 43201.85, 43373.98, 43115.09, 43325.80
12/24/24, 42916.48, 43297.65, 42871.76, 43297.03
12/23/24, 42800.49, 42957.79, 42516.87, 42906.95
12/20/24, 42296.26, 43216.03, 42146.33, 42840.26
12/19/24, 42464.13, 42787.85, 42334.13, 42342.24
12/18/24, 43459.72, 43688.97, 42300.04, 42326.87
12/17/24, 43656.47, 43656.47, 43336.22, 43449.90
12/16/24, 43825.76, 43951.58, 43686.85, 43717.48
12/13/24, 43929.15, 44054.23, 43790.48, 43828.06
12/12/24, 44168.66, 44208.60, 43903.27, 43914.12
12/11/24, 44300.41, 44376.18, 44135.74, 44148.56
12/10/24, 44291.57, 44470.84, 44186.66, 44247.83
12/09/24, 44637.97, 44728.51, 44382.83, 44401.93
